prot_id,trial_id,category,target_position,selected_image,quintile,im1,im2,im3,im4,im5,im6,im7,im8,im9
5,49,livingroom,8,livingroom_46.jpg,3,livingroom_46.jpg,livingroom_50.jpg,livingroom_22.jpg,livingroom_5.jpg,livingroom_3.jpg,livingroom_45.jpg,livingroom_43.jpg,livingroom_19.jpg,livingroom_2.jpg
5,50,field,4,field_21.jpg,2,field_21.jpg,field_13.jpg,field_23.jpg,field_33.jpg,field_34.jpg,field_54.jpg,field_64.jpg,field_43.jpg,field_33.jpg
5,51,castle,3,castle_65.jpg,4,castle_65.jpg,castle_66.jpg,castle_23.jpg,castle_2.jpg,castle_24.jpg,castle_60.jpg,castle_10.jpg,castle_6.jpg,castle_61.jpg
5,52,doors,5,doors_45.jpg,3,doors_45.jpg,doors_29.jpg,doors_46.jpg,doors_59.jpg,doors_36.jpg,doors_24.jpg,doors_31.jpg,doors_48.jpg,doors_23.jpg
5,53,countryroad,3,countryroad_35.jpg,2,countryroad_35.jpg,countryroad_33.jpg,countryroad_54.jpg,countryroad_47.jpg,countryroad_66.jpg,countryroad_23.jpg,countryroad_5.jpg,countryroad_40.jpg,countryroad_62.jpg
5,54,bridge,8,bridge_43.jpg,4,bridge_43.jpg,bridge_50.jpg,bridge_40.jpg,bridge_48.jpg,bridge_15.jpg,bridge_56.jpg,bridge_22.jpg,bridge_20.jpg,bridge_52.jpg
5,55,concert_hall,7,concert_hall_42.jpg,3,concert_hall_42.jpg,concert_hall_8.jpg,concert_hall_51.jpg,concert_hall_10.jpg,concert_hall_18.jpg,concert_hall_36.jpg,concert_hall_57.jpg,concert_hall_55.jpg,concert_hall_21.jpg
5,56,empty,8,empty_5.jpg,2,empty_5.jpg,empty_56.jpg,empty_63.jpg,empty_24.jpg,empty_64.jpg,empty_62.jpg,empty_9.jpg,empty_58.jpg,empty_58.jpg
5,57,golfcourse,3,golfcourse_32.jpg,4,golfcourse_32.jpg,golfcourse_63.jpg,golfcourse_40.jpg,golfcourse_56.jpg,golfcourse_57.jpg,golfcourse_58.jpg,golfcourse_18.jpg,golfcourse_49.jpg,golfcourse_48.jpg
5,58,corridor,3,corridor_50.jpg,3,corridor_50.jpg,corridor_62.jpg,corridor_29.jpg,corridor_1.jpg,corridor_27.jpg,corridor_33.jpg,corridor_42.jpg,corridor_63.jpg,corridor_44.jpg
5,59,tenniscourt,8,tenniscourt_53.jpg,2,tenniscourt_53.jpg,tenniscourt_55.jpg,tenniscourt_47.jpg,tenniscourt_5.jpg,tenniscourt_35.jpg,tenniscourt_11.jpg,tenniscourt_57.jpg,tenniscourt_12.jpg,tenniscourt_14.jpg
5,60,grocerystore,8,grocerystore_15.jpg,4,grocerystore_15.jpg,grocerystore_51.jpg,grocerystore_42.jpg,grocerystore_55.jpg,grocerystore_13.jpg,grocerystore_59.jpg,grocerystore_28.jpg,grocerystore_63.jpg,grocerystore_11.jpg
5,61,playground,9,playground_21.jpg,3,playground_21.jpg,playground_18.jpg,playground_41.jpg,playground_31.jpg,playground_64.jpg,playground_50.jpg,playground_62.jpg,playground_13.jpg,playground_20.jpg
5,62,ruins,4,ruins_15.jpg,2,ruins_15.jpg,ruins_54.jpg,ruins_29.jpg,ruins_13.jpg,ruins_63.jpg,ruins_46.jpg,ruins_20.jpg,ruins_17.jpg,ruins_50.jpg
5,63,constructionsite,9,constructionsite_64.jpg,4,constructionsite_64.jpg,constructionsite_25.jpg,constructionsite_4.jpg,constructionsite_21.jpg,constructionsite_58.jpg,constructionsite_27.jpg,constructionsite_22.jpg,constructionsite_54.jpg,constructionsite_2.jpg
5,64,woods,9,woods_59.jpg,3,woods_59.jpg,woods_6.jpg,woods_66.jpg,woods_76.jpg,woods_28.jpg,woods_64.jpg,woods_38.jpg,woods_62.jpg,woods_49.jpg
